London,United Kingdom,London Underground,1863,2021,272,402 km (250 mi),"1,026 (2022)"
London,United Kingdom,Docklands Light Railway,1987,2011,45,34 km (21 mi),39.9 (2020)
Atlanta,United States,MARTA,1979,2000,38,76.6 km (47.6 mi),28.2 (2022)
Baltimore,United States,Baltimore Metro SubwayLink,1983,1995,14,24.9 km (15.5 mi),2.0 (2022)
Boston,United States,MBTA subway,1901,2014,51,61 km (38 mi),81.0 (2022)
Chicago,United States,"Chicago ""L""",1892,2017,145,165.4 km (102.8 mi),103.5 (2022)
Cleveland,United States,Red Line (RTA Rapid Transit),1955,1968,18,31 km (19 mi),2.8 (2022)
Los Angeles,United States,Metro Rail,1993,2000,16,28.0 km (17.4 mi),25.8 (2022)
Miami,United States,Metrorail,1984,2012,23,39.3 km (24.4 mi),12.0 (2022)
New York City,United States,New York City Subway,1904,2017,424,399 km (248 mi),"1,793.1 (2022)"
New York City,United States,Staten Island Railway,1925,2017,21,22.5 km (14.0 mi),3.8 (2022)
New York City,United States,PATH,1908,1937,13,22.2 km (13.8 mi),45.5 (2022)
Philadelphia,United States,SEPTA,1907,1973,72,59.1 km (36.7 mi),41.2 (2022)
Philadelphia,United States,PATCO Speedline,1936,1980,13,22.9 km (14.2 mi),4.9 (2022)
San Francisco (Bay Area),United States,BART,1972,2020,47,191.5 km (119.0 mi),39.6 (2022)
San Juan,United States,Tren Urbano,2004,2005,16,17.2 km (10.7 mi),2.5 (2022)
"Washington, D.C.",United States,Washington Metro,1976,2023,98,206 km (128 mi),93.0 (2022)
Tashkent,Uzbekistan,Tashkent Metro,1977,2023,48,59.1 km (36.7 mi),136.7 (2022)
Caracas,Venezuela,Caracas Metro,1983,2015,49,67.2 km (41.8 mi),358 (2017)
Hanoi,Vietnam,Hanoi Metro,2021,–,12,13.1 km (8.1 mi),7.5 (2022)
